#id, arr_time, task_id, skills, task_prio, order
8188, 147608.2, 15, [[3,4144],[1,2004]], 15, 1
8189, 147609.8, 2, [[2,3859],[3,1731],[1,5999]], 4, 1
8190, 147612.0, 14, [[3,3315],[1,1603]], 17, 1
8191, 147616.0, 14, [[2,2809]], 17, 2
8192, 147618.6, 2, [[3,4948],[2,1468]], 4, 2
8193, 147620.8, 3, [[2,5572]], 1, 0
8194, 147623.3, 13, [[1,2423],[2,1302],[3,4419]], 6, 0
8195, 147629.0, 12, [[1,966]], 20, 1
8196, 147631.0, 17, [[2,1505],[1,3615]], 4, 1
8197, 147635.8, 16, [[3,2008]], 8, 1
8198, 147645.5, 11, [[1,5280],[3,5061],[2,2615]], 1, 1
8199, 147650.6, 17, [[1,5094],[3,2560]], 4, 1
8200, 147652.2, 0, [[3,1052],[2,2628]], 7, 0
8201, 147660.8, 15, [[1,1592],[3,658],[2,4204]], 15, 2
8202, 147667.4, 0, [[2,2740]], 7, 1
8203, 147676.4, 15, [[3,2476],[1,3630],[2,1837]], 15, 3
8204, 147679.4, 10, [[2,5755],[1,5856]], 20, 1
8205, 147689.1, 11, [[3,1333],[1,3444]], 1, 2
8206, 147690.1, 18, [[1,5664]], 2, 1
8207, 147696.0, 16, [[1,5819]], 8, 2
8208, 147703.9, 4, [[1,5352]], 3, 1
8209, 147706.8, 14, [[3,2222]], 17, 3
8210, 147713.9, 14, [[3,3532]], 17, 4
8211, 147722.3, 10, [[1,4670]], 20, 1
8212, 147724.6, 3, [[1,3060]], 1, 1
8213, 147727.1, 3, [[2,2957],[3,5078],[1,712]], 1, 2
8214, 147736.0, 19, [[2,854],[1,4248],[3,1841]], 11, 1
8215, 147742.0, 11, [[2,964],[1,4420]], 1, 3
8216, 147742.4, 11, [[3,3050],[1,2577],[2,1906]], 1, 4
8217, 147744.8, 2, [[2,1108],[3,4451]], 4, 2
8218, 147749.1, 4, [[3,2531],[1,2796]], 3, 2
8219, 147757.2, 16, [[1,2934],[2,1073]], 8, 2
8220, 147766.7, 6, [[2,3009],[1,5841]], 10, 1
